seqid	mrca	ps
AT5G09976.1	Brassicaceae	18
AT1G27710.2	Brassicaceae	18
AT1G47400.1	Brassicaceae	18
AT2G05440.7	Brassicaceae	18
AT5G36720.1	Brassicaceae	18
AT5G40070.1	Brassicaceae	18
AT4G28085.2	Brassicaceae	18
AT2G41440.2	Brassicaceae	18
AT4G05136.1	Brassicaceae	18
AT1G47395.1	Brassicaceae	18
AT2G05440.6	Brassicaceae	18
AT1G13605.1	Brassicaceae	18
AT3G45730.1	Brassicaceae	18
AT3G61947.1	Brassicaceae	18
ATMG01140.1	Brassicaceae	18
AT3G10974.1	Brassicaceae	18
AT5G63085.1	Brassicaceae	18
AT1G53633.1	Brassicaceae	18
AT1G53620.1	Brassicaceae	18
AT1G62225.1	Brassicaceae	18
AT4G01735.1	Brassicaceae	18
AT4G28920.1	Brassicaceae	18
AT1G10990.2	Brassicaceae	18
AT2G33796.1	Brassicaceae	18
AT5G63087.1	Brassicaceae	18
AT1G76728.1	Brassicaceae	18
AT2G14288.1	Brassicaceae	18
AT2G07825.1	Brassicaceae	18
AT2G07827.1	Brassicaceae	18
AT1G62220.1	Brassicaceae	18
AT1G02965.1	Brassicaceae	18
AT1G65490.1	Brassicaceae	18
AT1G64628.1	Brassicaceae	18
AT3G28810.1	Brassicaceae	18
AT3G48209.1	Brassicaceae	18
AT5G39330.1	Brassicaceae	18
AT5G46500.1	Brassicaceae	18
AT5G12880.1	Brassicaceae	18
AT5G18661.1	Brassicaceae	18
AT3G17155.1	Brassicaceae	18
AT4G16008.1	Brassicaceae	18
AT4G16000.1	Brassicaceae	18
AT2G45403.1	Brassicaceae	18
AT1G36960.1	Brassicaceae	18
AT2G03933.1	Brassicaceae	18
AT2G05440.4	Brassicaceae	18
AT1G11850.3	Brassicaceae	18
AT3G03828.1	Brassicaceae	18
AT1G52410.1	Brassicaceae	18
AT4G16090.1	Brassicaceae	18
AT2G22088.1	Brassicaceae	18
AT2G07705.1	Brassicaceae	18
AT2G39160.1	Brassicaceae	18
AT2G34330.1	Brassicaceae	18
AT1G51230.1	Brassicaceae	18
AT1G34860.1	Brassicaceae	18
ATMG00140.1	Brassicaceae	18
AT5G60290.1	Brassicaceae	18
AT4G11393.1	Brassicaceae	18
AT3G48205.1	Brassicaceae	18
AT5G60810.2	Brassicaceae	18
AT1G53610.1	Brassicaceae	18
AT2G30766.2	Brassicaceae	18
AT4G06688.1	Brassicaceae	18
AT3G23633.2	Brassicaceae	18
AT2G43386.1	Brassicaceae	18
AT1G04660.1	Brassicaceae	18
AT3G20470.1	Brassicaceae	18
AT3G44713.1	Brassicaceae	18
AT2G24460.1	Brassicaceae	18
AT1G62240.1	Brassicaceae	18
AT4G17718.1	Brassicaceae	18
AT5G55870.1	Brassicaceae	18
AT2G30480.4	Brassicaceae	18
AT2G14365.1	Brassicaceae	18
AT5G18407.1	Brassicaceae	18
AT1G59833.1	Brassicaceae	18
AT2G30766.1	Brassicaceae	18
AT3G30520.1	Brassicaceae	18
